,voter,vote,weight
183,osmo1pq0zg9ynezeq2l057j0p4e3qtzkzsxcjqqmd2y,YES,283418208
184,osmo1pqsf299rc3smtzvd9pcvz6j9hdx4vwwvqkh5zx,YES,104400000
185,osmo1pq3x6s7pfjhwhqz5l8rexktluae6xlp824ymvh,NO,670765939
186,osmo1pqezqgmf7vhlalg7yrhfkr3r0as7zrwjmz3cgs,NO,535383717
187,osmo1pq6xzspzausw6fueuyxhuy37gkrpmhgaja4lav,NO,4955153180
188,osmo1pqm57zc985yk34q0gdgvjkk4h89sdfznjnwjkl,YES,2020000
189,osmo1pqawqj4pr5tw38w4d45t47ce2vj09u5qcka864,NO,6885976
190,osmo1pq7mnp9wk5mzeus9gz047ajalzcl2q7pvey5j4,YES,78576842
191,osmo1pq7az4l0euv6jqh24exllzp333q7ek5f890th3,YES,160003550
192,osmo1ppzvl5qx77tw86406l2mvudusu8hty5df4hsc3,VETO,0
193,osmo1ppr4lhuse5qruhtl3cjwrvjvksak8lhzrgll7p,NO,127117288
194,osmo1ppxf2pac3y95fa9w08qg4yayg4a9vsmqacflhg,NO,22000000
195,osmo1pp8pxjulhetpf0ewt3w0735v7zzeg6z8yt5qcl,NO,0
196,osmo1ppwmgd463a5ka8ea846gu0jmwyxcjpyr9ymrn6,YES,6000000
197,osmo1ppjpsw4guzwe7chunx9lxx8vadxxweksas29la,YES,4625
198,osmo1pzzv0umuptehzr3yan2c0aslurahpyxk00rjje,NO,200000000
199,osmo1pzdtnxnaexxqrv48fsa98fxqtsm5l4rtd079xn,NO,419516721
200,osmo1pzjjkxs32sdfjuv033erpnasslrnwy8q3rx2lj,YES,1158559
201,osmo1pz4u2kc8w29shkjmrn20sdnzmefsnwe7vgwsxe,YES,1000000
202,osmo1pz6l7dzhp2t7lp9j6pymvn3n4s5y26t0ge0ckd,YES,158000000
203,osmo1pzm3x9j54xn88qvk0w69x35wj5xhqkm2dxa5g8,YES,200000000
204,osmo1prqsexy94g06njncceq0yq6y9m254xlsvcm2ma,YES,1947639076
205,osmo1prrakm635p99mtv97wfppuqyw8hajjy27s7604,NO,47783146
206,osmo1pr2qc3rjlxdtdudpefs859vem45ctwylpjn9xj,YES,4930627
207,osmo1pr0dnyr2clsec6m64djkk6tfyp26vxvlphef7s,YES,51582248
208,osmo1prj6t6tap75dg9c08ap30nt60lr2estnre5sqw,NO,165480000
209,osmo1prhq72xcwrtvmvhru3a8cwdl6gzpd27y4qdyqe,YES,0
210,osmo1pyyv0w6z03gga5wz0f5kwk5ct3h59mww69p45j,NO,97000000
211,osmo1py9s288dpjmp4r9p735k6ean3qv7tk584atk2s,YES,341691385
212,osmo1pyvny8ac6dvgv7qctr7nszqaqen0ssklr88yqa,NO,406390000
213,osmo1pystjuvpz3xrzdm4e3z5kavsfjvwuaj9ywsx37,YES,35000000
214,osmo1pykh6vwwneyhyf2gdnv008fjfvhd5ru9xd59pw,NO,101061415
215,osmo1pycrutgzg8e0w4yfkslgr8vfnpulem2zddcrt2,YES,1001000
216,osmo1pyusmq2t8fpkmd9vug42tfl5z28drn8q7v4y8q,YES,50000001
217,osmo1pyu60qhtuv0duewnzrzmqccrj3tvsghj864a98,NO,4200000
218,osmo1py7vnejer4auv8e0dyexvgkas4q08wppe2pmj5,NO,500000000
219,osmo1py7jukvlrfsatlng8pm3k2v5c673apykdyr4ga,YES,0
220,osmo1pylt7nwxa77clfqj82vz0ydz5ztxsq9hep2pd9,YES,9000
221,osmo1p982ax08fxgca966puyck243ruceanrra6k4uu,YES,31927201
222,osmo1p9he4f4n96rgtf23hdvysjvhzqs5uk8gyx8wvk,YES,20694134
223,osmo1p9uc66fnsd3c9h49pm4dj9h3pkq9ls8th8hcvt,YES,579680000
224,osmo1p97xjkhrudhzmjnunwml34sl9nur9tcnz3h5mk,YES,2000000
225,osmo1pxphtfhqnx9ny27d53z4052e3r76e7qq0ju6qu,YES,3000000
226,osmo1pxglh72vasja7fh7s9497p2lv8t5p2g3ek04jw,YES,933000000
227,osmo1pxnmvwh2eg2gkzatdfnxdl37wjzzr4xy2j35hj,YES,37535856
228,osmo1px4rpuuv0wdyy8qua7cnswzjsaa09xjplyf86m,YES,840120000
229,osmo1pxu0splyl3skmw7xvwsq64760enaa279d5pc7m,YES,18702628
230,osmo1pxuk2266w3fw48e2cwk9fhkm73jghf2qxx2tr3,YES,0
231,osmo1px7x4y0nzrcsl3w0adudusgwsmhvkq6chhpngq,YES,190000000
232,osmo1px7lwnuw7zvqar9hjjewm0qr3pkpxrlvns39m2,YES,111997000
233,osmo1p8zntq20fd23m7vjsxv5dytsj9ccw2k3nfey0p,NO,29062000
234,osmo1p8fx0xv2cfn8duuahu8ksyatzsemmuptkm398q,ABSTAIN,39902398
235,osmo1p8ktdc6st0tcd0rqx6eu32xpcf7472suchztlm,NO,7183000000
236,osmo1p8c46ep45um0faccqfz6ay26yn9xrmedpufl3c,NO,21268413846
237,osmo1p8m64aqtvhu6jcw30xx5khjuzcgpjf8qdllnxy,NO,739187029
238,osmo1pgz9guz9ue8u29ezp68pjvaja4erffrr46k3f9,NO,0
239,osmo1pggq07j4u8tzfrd3t8pa4ms7cutz7wnytrtahf,YES,44637589
240,osmo1pggsssjdvf2kdnfg9gpzffz9vlfyssns6gufd9,YES,8100000
241,osmo1pg23whjnnheuuq83qy9ehap9md28jzdfn68phz,NO,639645428
242,osmo1pgwf50mvx6d9cwqv822dz42nsml5g9me2c3kyh,YES,3683099613
243,osmo1pg0lfu3t045qj76k59kfj24xvdv8d4g996k30s,YES,1287733204
244,osmo1pgshtxawpkhur98p6rrnf772ua98rrjzgf46a4,NO,51094929
245,osmo1pg3uzk7v0ddhxen8gze5hq0z89far4htfmyka9,NO,1391100000
246,osmo1pgj7lah4elg5clyxyxj7mu7cgtqnt06mxyuqxc,YES,27314413
247,osmo1pg4qca7gsmsfw6x93d3ejs7m0sem6fjue406dr,YES,0
248,osmo1pghmwkyzmjrr39zwy5zqatpzamya4psx4w3el8,YES,2109511487
249,osmo1pgh7t5dny8r7qyvy9r4hh36dy2aa54vqa2x4ue,YES,1500000
250,osmo1pg66yqrjshju35mzteldlmmfy2pu79wg5qttmk,VETO,57316848
251,osmo1pgl5usqpelz3a4c04g6t3yyvlrc9ysey9vrmyv,ABSTAIN,1000000
252,osmo1pgle2s8qscrnam7f853ylk94qq3t33hduqcu2y,YES,55261490
253,osmo1pfxtkg9pm7wdcraayfvlk4p448qk29sc8wgn8t,VETO,0
254,osmo1pf8vwgr546v4e06ve7ts7v92a6u6s3tph30t2m,NO,1401857004
255,osmo1pfsmlav60zxplnn4wm5ujxh26yuwd55q9n8utq,YES,2753910000
256,osmo1pf37xevfm0e4gnc2l3h0vxc5n0yy0vlehzxy55,YES,1000000
257,osmo1pfkfl0pgpap70fhh6t92ztvawu2nlszudfap6t,YES,7037448749
258,osmo1pfh243e50apq0zut00vyhd3sqek0jthcaey9eh,NO,19306667929
259,osmo1pfuvwlesxxme6waaqmx4umldd8e8dqcekrwm84,ABSTAIN,25654929
260,osmo1pfulqatm6hdrd2qpwt6vgkmsklen3h84apxfrp,YES,12000000
261,osmo1p2yguyfencsn3zwtxhqdukf9m0pcqfy3chldqr,YES,25000000
262,osmo1p29yp22efftz22e3cujk6ke3v8cg3y4gcy2rqk,YES,1000000000
263,osmo1p2txz6pess0cqxywetg0pjp9kpc3nxnlmz92l7,ABSTAIN,0
264,osmo1p2dp8meqm2gelxx4m3v029d2f5gz3gstyyuwt4,YES,75000000
